items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000212	16	16	1	0	0.77946374020711	0.888071924514864	0.830230955175037
GC_00000213	16	16	1	0	0.736145650477862	0.98036831046842	0.840883190043851
GC_00000214	16	16	1	0	0.693024156996256	0.910895779260917	0.787162457755655
GC_00000215	16	16	1	0	0.684456896048561	0.814613076506893	0.743884605834637
GC_00000216	16	16	1	0	0.718613589832735	0.986830324250085	0.831630610668933
GC_00000217	16	16	1	0	0.716038045260741	0.917798467367944	0.804460685555509
GC_00000218	16	16	1	0	0.724499215360473	0.949607206954864	0.821918687090322
GC_00000219	16	16	1	0	0.77597774504991	0.998529411764705	0.873297803653927
GC_00000220	16	16	1	0	0.719380539202012	0.959341435977115	0.822210669421194
GC_00000221	16	16	1	0	0.82375234715499	0.928799576625177	0.873127718385959
GC_00000222	16	16	1	0	0.756578392764671	0.977701646832552	0.853043249849935
GC_00000223	16	16	1	0	0.724440729906672	0.977828338277032	0.83227579980722
GC_00000224	16	16	1	0	0.684852213942253	0.964515496580716	0.800974299424684
GC_00000225	16	16	1	0	0.777499110969698	0.938301497367776	0.850365218988772
GC_00000226	16	16	1	0	0.787380443942629	0.975954748970375	0.871584355147755
GC_00000227	13	16	2	0	0.760705160960654	0.701378702904802	0.729838297615834
GC_00000228	16	16	1	0	0.702669862273186	0.971534512025012	0.815513365319484
GC_00000229	16	16	1	0	0.70756637888907	0.937299791937218	0.806390004824941
GC_00000230	16	16	1	0	0.784122228879569	0.930684190902311	0.851139993103272
GC_00000231	16	16	1	0	0.917671957671958	0.972550154320988	0.944314425682939
GC_00000232	16	16	1	0	0.831778476589797	0.954005988023947	0.888709318621761
GC_00000233	16	16	1	0	0.722219150308727	0.928415890327956	0.812438508741634
GC_00000234	16	16	1	0	0.786942528735632	0.978263057424098	0.872234724628058
GC_00000235	16	16	1	0	0.756939003252843	0.91114939690521	0.826916027043304
GC_00000236	15	16	2	0	0.784998511757119	0.843238588958301	0.81307696169998
GC_00000237	16	16	1	0	0.766179560649475	0.952284010143217	0.849154508603858
GC_00000238	16	16	1	0	0.760699126092385	0.993308026803536	0.86157977940109
GC_00000239	16	16	1	0	0.797982108366372	0.893441843692631	0.843018221735237
GC_00000240	16	16	1	0	0.847242931595166	0.987978558854192	0.912214525508676
GC_00000241	12	16	2	0	0.71482081071644	0.655787866179433	0.684033046138376
GC_00000242	16	16	1	0	0.817106116274044	0.807244874733778	0.812145562292045
GC_00000243	15	16	2	0	0.713522492035749	0.857894114815673	0.779076336647063
GC_00000244	16	16	1	0	0.805098576837707	0.985839843020691	0.886349017705055
GC_00000245	15	15	1	0	0.821544497948992	0.988888888888889	0.897482593566762
GC_00000246	15	15	1	0	0.774444030314325	0.702729786402519	0.736846106862471
GC_00000247	15	15	1	0	0.781030450324276	0.960622054517527	0.861566901256693
GC_00000248	15	15	1	0	0.778432899469722	0.979828210334368	0.867596411590763
GC_00000249	15	15	1	0	0.698054576315446	0.958625659958184	0.807848146257114
GC_00000250	15	15	1	0	0.695529699938763	0.947580921315077	0.802223131351975
GC_00000251	15	15	1	0	0.816597442788501	0.948185559802892	0.87748567646795
GC_00000252	15	15	1	0	0.786600991268855	0.976260522987698	0.87122838510957
GC_00000253	14	15	2	0	0.679371865714785	0.855665731904965	0.757395422253993
GC_00000254	15	15	1	0	0.691843002261145	0.911781179985063	0.786729753703884
GC_00000255	15	15	1	0	0.835218297845454	0.991672475891717	0.906746050985998
GC_00000256	15	15	1	0	0.681857977804595	0.983043473799779	0.80520806140591
GC_00000257	15	15	1	0	0.73804371348193	0.891813371813372	0.807674806097159
GC_00000258	15	15	1	0	0.716656824700523	0.983984277845057	0.829309660998007
GC_00000259	15	15	1	0	0.857607227288078	1.0	0.923346135490762
GC_00000260	15	15	1	0	0.773535185843973	0.899500315638075	0.831775707338481
GC_00000261	15	15	1	0	0.755883444252343	0.907277644256605	0.82468998988987
GC_00000262	15	15	1	0	0.858248174527307	0.906403048453421	0.881668571772645
GC_00000263	15	15	1	0	0.700687439091843	0.911553467000835	0.7923308011531
GC_00000264	15	15	1	0	0.77654094844457	0.926832908339756	0.845056653682012
GC_00000265	12	15	2	0	0.704096937164509	0.720211481005106	0.712063049571925
GC_00000266	15	15	1	0	0.700070571630205	0.789443343541705	0.742075716317315
GC_00000267	15	15	1	0	0.720336621523714	0.937071373733071	0.814533089514735
GC_00000268	15	15	1	0	0.697191945944111	0.955583338798565	0.80618946040504
GC_00000269	14	15	2	0	0.746330358170192	0.888405221797291	0.811193927029386
GC_00000270	15	15	1	0	0.808783676072055	0.92879657946653	0.864645543098955
GC_00000271	15	15	1	0	0.714089845955319	0.929673202614379	0.807744394329036
GC_00000272	15	15	1	0	0.792894190096109	0.966133546818477	0.870983055074491
GC_00000273	15	15	1	0	0.699721059972106	0.956266268942326	0.808121699528378
GC_00000274	12	14	2	0	0.674240915878547	0.856570866774948	0.754547531281903
GC_00000275	14	14	1	0	0.721091599798426	0.964969724153398	0.825392946581463
GC_00000276	14	14	1	0	0.725178506280294	0.922369428558909	0.811973321439342
GC_00000277	14	14	1	0	0.7735861051775	0.958338261959524	0.856108012080633
GC_00000278	14	14	1	0	0.708087525474633	0.962875462742591	0.816056499828361
GC_00000279	14	14	1	0	0.729796785911998	0.9823304147363	0.837439623769422
GC_00000280	14	14	1	0	0.737747261729606	0.941661752797379	0.827324819138756
GC_00000281	14	14	1	0	0.748307301214832	0.99904761904762	0.855687209193127
GC_00000282	14	14	1	0	0.670107418596845	0.715232398445719	0.69193497555346
GC_00000283	14	14	1	0	0.72025057596231	0.882273427513995	0.793071358612685
GC_00000284	14	14	1	0	0.768613842298053	1.0	0.869170899736205
GC_00000285	14	14	1	0	0.771540217773094	0.986284574668158	0.865795292907323
GC_00000286	14	14	1	0	0.722592789622294	0.95072680370778	0.821108335787446
GC_00000287	14	14	1	0	0.728104912764004	0.953898194724141	0.825846229133981
GC_00000288	13	14	2	0	0.839817819983705	0.838502105105523	0.839159446818853
GC_00000289	14	14	1	0	0.77450321037898	0.978032411643275	0.864449467564424
GC_00000290	13	14	2	0	0.760611288526716	0.88443087398519	0.817861234203858
GC_00000291	14	14	1	0	0.695541889719654	0.981923973572701	0.81428692062839
GC_00000292	14	14	1	0	0.761197874301828	0.8900598662608	0.820600759719368
GC_00000293	14	14	1	0	0.754908536585366	0.992985584648069	0.857733069126703
GC_00000294	14	14	1	0	0.710639695511892	0.921769591039323	0.802551255870663
GC_00000295	13	14	2	0	0.753102299017942	0.869831015843719	0.807268828349679
GC_00000296	14	14	1	0	0.759597002370574	0.977988338192419	0.855068229113445
GC_00000297	14	14	1	0	0.733361137177215	0.969831471563557	0.835180598137921
GC_00000298	14	14	1	0	0.731024890719266	0.910109454038026	0.810796101252895
GC_00000299	10	14	3	0	0.777237174354868	0.654434180019844	0.710568904414552
GC_00000300	13	14	2	0	0.737766459158649	0.879969578861203	0.802618010733579
GC_00000301	14	14	1	0	0.772680342080143	0.887960333515646	0.82631902775513
GC_00000302	11	14	2	0	0.653039063984581	0.673729312512584	0.663222861527304
GC_00000303	14	14	1	0	0.767650636731803	0.99119538063053	0.865217031571331
GC_00000304	14	14	1	0	0.850492420422843	0.976829615562457	0.909293674261927
GC_00000305	14	14	1	0	0.739975378121702	0.935539603478107	0.826344472516197
GC_00000306	14	14	1	0	0.88491124260355	0.960746988422267	0.921271118412686
GC_00000307	13	14	2	0	0.735440931780366	0.826338133381173	0.778244375707059
GC_00000308	14	14	1	0	0.802618244415754	0.999458874458875	0.890288122280671
GC_00000309	13	14	2	0	0.818754696725711	0.863484644102771	0.840524996355742
GC_00000310	14	14	1	0	0.750848196221247	0.811925779138892	0.780193446197463
GC_00000311	14	14	1	0	0.693667371213063	0.835131229626644	0.757854284213577
GC_00000312	12	14	2	0	0.716797683078196	0.757845904979665	0.73675048427825
GC_00000313	14	14	1	0	0.775061554695744	0.911069109918214	0.837579975962479
GC_00000314	14	14	1	0	0.737985685071575	0.908505386239376	0.814415555040031
GC_00000315	13	14	2	0	0.707061339104001	0.84323807156217	0.769168892099397
GC_00000316	13	14	2	0	0.801236113509469	0.854885930836661	0.827192033408298
GC_00000317	12	14	2	0	0.777762341391127	0.812824262458175	0.794906860122005
GC_00000318	14	14	1	0	0.751956235717748	0.951802364976015	0.840158603716723
GC_00000319	14	14	1	0	0.733956515359452	0.95728179249624	0.83087428350463
GC_00000320	14	14	1	0	0.773886494252874	0.921846318337189	0.841411347638231
GC_00000321	12	13	2	0	0.944856348470806	0.855396211828372	0.897903504238982
GC_00000322	13	13	1	0	0.768584805920556	0.982594838539962	0.862512838893158
GC_00000323	12	13	2	0	0.732173876645529	0.802847225766935	0.765883628205569
GC_00000324	13	13	1	0	0.84821756707093	0.993881218496605	0.915290228423827
GC_00000325	13	13	1	0	0.740785591002728	0.984177041250997	0.845310104140503
GC_00000326	13	13	1	0	0.720147660781999	0.90810603551083	0.803278308170385
GC_00000327	13	13	1	0	0.769377394636015	0.989322114200158	0.865596501113273
GC_00000328	10	13	2	0	0.735630407911001	0.667313079077785	0.699808363086632
GC_00000329	13	13	1	0	0.855541498319934	0.930493624764976	0.891444854156687
GC_00000330	13	13	1	0	0.767202488558818	0.982924395402221	0.861768422768304
GC_00000331	13	13	1	0	0.799069392540485	0.958405504689319	0.871514586804835
GC_00000332	13	13	1	0	0.772007684326235	0.981352312770413	0.864182515563939
GC_00000333	13	13	1	0	0.838770532670359	0.894350523246744	0.865669322078291
GC_00000334	13	13	1	0	0.722071042415007	0.875562778379681	0.791443595967342
GC_00000335	13	13	1	0	0.760705852319867	0.971154352893482	0.853143686226079
GC_00000336	12	13	2	0	0.739775002883234	0.843323504322703	0.788162764353704
GC_00000337	13	13	1	0	0.767999420541793	1.0	0.868777909787373
GC_00000338	13	13	1	0	0.815508338070874	0.909029304029302	0.859733019319733
GC_00000339	13	13	1	0	0.742940488353842	0.956896804617429	0.836453444416481
GC_00000340	13	13	1	0	0.750009084632436	0.933252737600563	0.831656753825699
GC_00000341	13	13	1	0	0.711426765612911	0.769043494096032	0.739113970081309
GC_00000342	13	13	1	0	0.772988157799143	0.980585507966466	0.864498595257589
GC_00000343	13	13	1	0	0.776306027541031	0.936807154198459	0.84903793654705
GC_00000344	13	13	1	0	0.771277420531765	0.928038673729441	0.8424274646077
GC_00000345	13	13	1	0	0.890265906932574	1.0	0.941947800748574
GC_00000346	13	13	1	0	0.727614566367055	0.958464120228824	0.827235953769966
GC_00000347	13	13	1	0	0.733590995389205	0.898334908523701	0.807647452812224
GC_00000348	13	13	1	0	0.741323925887684	0.873968358316963	0.802199900073393
GC_00000349	13	13	1	0	0.719949052698615	0.956063260411087	0.821374441308007
GC_00000350	13	13	1	0	0.712060679752186	0.758969385402114	0.734767112219206
GC_00000351	13	13	1	0	0.793256307890261	0.976049639441274	0.875210456923563
GC_00000352	13	13	1	0	0.735472439263908	0.958939677057087	0.83247008988988
GC_00000353	13	13	1	0	0.778891178123244	0.978083906501173	0.867196049511351
